Date : 2025-01-24 16:19:33
Directory : c:\Users\hondak\projects\cline-test-app
Total : 2269 files,  426690 codes, 33148 comments, 76896 blanks, all 536734 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\fi\formats.py                                              | Python           |         28 |          6 |          3 |         37 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\fr\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\fr\formats.py                                              | Python           |         25 |          7 |          2 |         34 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\fy\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\fy\formats.py                                              | Python           |          0 |         20 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ga\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ga\formats.py                                              | Python           |          6 |         14 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\gd\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\gd\formats.py                                              | Python           |          9 |         11 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\gl\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\gl\formats.py                                              | Python           |         10 |         10 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\he\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\he\formats.py                                              | Python           |          9 |         11 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\hi\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\hi\formats.py                                              | Python           |          6 |         14 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\hr\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\hr\formats.py                                              | Python           |         35 |          7 |          3 |         45 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\hu\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\hu\formats.py                                              | Python           |         23 |          6 |          2 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\id\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\id\formats.py                                              | Python           |         39 |          6 |          5 |         50 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ig\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ig\formats.py                                              | Python           |         25 |          6 |          2 |         33 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\is\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\is\formats.py                                              | Python           |          8 |         12 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\it\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\it\formats.py                                              | Python           |         36 |          6 |          2 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ja\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ja\formats.py                                              | Python           |          9 |         11 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ka\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ka\formats.py                                              | Python           |         35 |         12 |          2 |         49 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\km\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\km\formats.py                                              | Python           |          8 |         12 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\kn\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\kn\formats.py                                              | Python           |          4 |         16 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ko\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ko\formats.py                                              | Python           |         36 |         16 |          3 |         55 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ky\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ky\formats.py                                              | Python           |         25 |          6 |          2 |         33 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\lt\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\lt\formats.py                                              | Python           |         38 |          6 |          2 |         46 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\lv\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\lv\formats.py                                              | Python           |         38 |          7 |          2 |         47 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\mk\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\mk\formats.py                                              | Python           |         31 |          6 |          4 |         41 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ml\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ml\formats.py                                              | Python           |         27 |         15 |          2 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\mn\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\mn\formats.py                                              | Python           |          3 |         17 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ms\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ms\formats.py                                              | Python           |         31 |          6 |          2 |         39 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\nb\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\nb\formats.py                                              | Python           |         27 |         13 |          2 |         42 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\nl\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\nl\formats.py                                              | Python           |         58 |         33 |          2 |         93 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\nn\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\nn\formats.py                                              | Python           |         27 |         13 |          2 |         42 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\pl\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\pl\formats.py                                              | Python           |         21 |          8 |          2 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\pt\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\pt\formats.py                                              | Python           |         27 |         11 |          2 |         40 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\pt_BR\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\pt_BR\formats.py                                           | Python           |         23 |         10 |          2 |         35 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ro\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ro\formats.py                                              | Python           |         28 |          6 |          2 |         36 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ru\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ru\formats.py                                              | Python           |         23 |          6 |          2 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sk\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sk\formats.py                                              | Python           |         21 |          8 |          2 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sl\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sl\formats.py                                              | Python           |         35 |          6 |          4 |         45 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sq\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sq\formats.py                                              | Python           |          7 |         13 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sr\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sr\formats.py                                              | Python           |         31 |         12 |          2 |         45 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sr_Latn\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sr_Latn\formats.py                                         | Python           |         31 |         12 |          2 |         45 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sv\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\sv\formats.py                                              | Python           |         27 |          7 |          2 |         36 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ta\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\ta\formats.py                                              | Python           |          4 |         16 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\te\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\te\formats.py                                              | Python           |          4 |         16 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\tg\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\tg\formats.py                                              | Python           |         25 |          6 |          2 |         33 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\th\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\th\formats.py                                              | Python           |         26 |          6 |          2 |         34 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\tk\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\tk\formats.py                                              | Python           |         25 |          6 |          2 |         33 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\tr\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\tr\formats.py                                              | Python           |         21 |          8 |          2 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\uk\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\uk\formats.py                                              | Python           |         28 |          6 |          2 |         36 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\uz\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\uz\formats.py                                              | Python           |         23 |          6 |          2 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\vi\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\vi\formats.py                                              | Python           |          9 |         11 |          2 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\zh_Hans\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\zh_Hans\formats.py                                         | Python           |         32 |          6 |          5 |         43 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\zh_Hant\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\locale\zh_Hant\formats.py                                         | Python           |         32 |          6 |          5 |         43 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\urls\__init__.py                                                  | Python           |          7 |          0 |          3 |         10 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\urls\i18n.py                                                      | Python           |         32 |          0 |          8 |         40 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\conf\urls\static.py                                                    | Python           |         23 |          2 |          6 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\__init__.py                                              | Python           |         47 |          0 |          4 |         51 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\actions.py                                               | Python           |         78 |          6 |         13 |         97 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\apps.py                                                  | Python           |         19 |          0 |          9 |         28 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\checks.py                                                | Python           |      1,214 |         21 |        116 |      1,351 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\decorators.py                                            | Python           |         88 |          0 |         24 |        112 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\exceptions.py                                            | Python           |          7 |          0 |          7 |         14 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\filters.py                                               | Python           |        466 |         14 |         71 |        551 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\forms.py                                                 | Python           |         25 |          0 |          7 |         32 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\helpers.py                                               | Python           |        478 |         11 |         67 |        556 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\migrations\0001_initial.py                               | Python           |         72 |          0 |          4 |         76 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py              | Python           |         17 |          1 |          4 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py      | Python           |         15 |          1 |          4 |         20 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\migrations\__init__.py                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\models.py                                                | Python           |        165 |          3 |         23 |        191 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\options.py                                               | Python           |      2,080 |        150 |        272 |      2,502 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\sites.py                                                 | Python           |        469 |         39 |         99 |        607 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\autocomplete.css                        | CSS              |        227 |          0 |         49 |        276 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\base.css                                | CSS              |        910 |         24 |        212 |      1,146 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\changelists.css                         | CSS              |        260 |          8 |         61 |        329 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\dark_mode.css                           | CSS              |        104 |          6 |         28 |        138 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\dashboard.css                           | CSS              |         21 |          2 |          7 |         30 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\forms.css                               | CSS              |        418 |         11 |        106 |        535 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\login.css                               | CSS              |         49 |          1 |         12 |         62 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\nav_sidebar.css                         | CSS              |        120 |          0 |         25 |        145 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\responsive.css                          | CSS              |        750 |         28 |        222 |      1,000 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\responsive_rtl.css                      | CSS              |         67 |          2 |         16 |         85 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\rtl.css                                 | CSS              |        227 |          8 |         64 |        299 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\vendor\select2\LICENSE-SELECT2.md       | Markdown         |         17 |          0 |          5 |         22 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\vendor\select2\select2.css              | CSS              |        425 |          0 |         57 |        482 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\vendor\select2\select2.min.css          | CSS              |          1 |          0 |          1 |          2 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\css\widgets.css                             | CSS              |        493 |          9 |        103 |        605 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\calendar-icons.svg                      | XML              |         14 |          0 |          1 |         15 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\gis\move_vertex_off.svg                 | XML              |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\gis\move_vertex_on.svg                  | XML              |          1 |          0 |          0 |          1 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-addlink.svg                        | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-alert.svg                          | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-calendar.svg                       | XML              |          9 |          0 |          1 |         10 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-changelink.svg                     | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-clock.svg                          | XML              |          9 |          0 |          1 |         10 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-deletelink.svg                     | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-no.svg                             | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-unknown-alt.svg                    | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-unknown.svg                        | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-viewlink.svg                       | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\icon-yes.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\inline-delete.svg                       | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\search.svg                              | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\selector-icons.svg                      | XML              |         34 |          0 |          1 |         35 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\sorting-icons.svg                       | XML              |         19 |          0 |          1 |         20 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\tooltag-add.svg                         | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\img\tooltag-arrowright.svg                  | XML              |          3 |          0 |          1 |          4 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\SelectBox.js                             | JavaScript       |        111 |          5 |          1 |        117 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\SelectFilter2.js                         | JavaScript       |        234 |         26 |         24 |        284 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\actions.js                               | JavaScript       |        174 |          7 |         21 |        202 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\admin\DateTimeShortcuts.js               | JavaScript       |        317 |         65 |         27 |        409 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\admin\RelatedObjectLookups.js            | JavaScript       |        203 |         13 |         23 |        239 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\autocomplete.js                          | JavaScript       |         28 |          2 |          4 |         34 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\calendar.js                              | JavaScript       |        178 |         28 |         16 |        222 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\cancel.js                                | JavaScript       |         24 |          3 |          3 |         30 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\change_form.js                           | JavaScript       |         14 |          2 |          1 |         17 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\collapse.js                              | JavaScript       |         37 |          6 |          1 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\core.js                                  | JavaScript       |        136 |         19 |         16 |        171 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\filters.js                               | JavaScript       |         20 |          6 |          5 |         31 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\inlines.js                               | JavaScript       |        272 |         61 |         27 |        360 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\jquery.init.js                           | JavaScript       |          2 |          6 |          1 |          9 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\nav_sidebar.js                           | JavaScript       |         73 |          1 |          6 |         80 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\popup_response.js                        | JavaScript       |         15 |          1 |          1 |         17 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\prepopulate.js                           | JavaScript       |         29 |         10 |          5 |         44 |
| c:\Users\hondak\projects\cline-test-app\attendance_env\Lib\site-packages\django\contrib\admin\static\admin\js\prepopulate_init.js                      | JavaScript       |         15 |          0 |          1 |         16 |
